x1	y1	x2	y2
821.5793	128.3824	473.3666	302.4945
683.1642	100.8600	473.3666	302.4945
824.5985	351.0668	638.3898	188.5085
280.0880	695.9973	608.2739	247.3171
868.0567	428.9333	686.1841	242.5890
304.6149	33.4202	608.2739	247.3171
795.2335	783.6790	608.2739	247.3171
1007.4701	675.0217	608.2739	247.3171
35.7197	650.1024	608.2739	247.3171
368.2783	51.5541	396.7533	228.6790
1063.9982	194.5020	745.5147	326.1197
220.5709	244.6938	135.8223	195.6416
479.0052	188.1889	336.4138	108.7871
980.1975	159.2964	473.3666	302.4945
364.2502	711.6345	608.2739	247.3171
982.5391	534.9451	526.6524	401.2953
762.0666	134.5142	608.2739	247.3171
800.5778	297.3442	731.9205	42.3854
392.2520	351.9162	290.1694	254.7772
562.1629	75.5803	473.3666	302.4945
798.3917	344.4720	616.0176	187.7136
412.6000	451.9980	322.5424	333.3440
466.2294	604.8813	388.0751	448.0421
109.4733	139.4679	608.2739	247.3171
951.0685	516.1143	328.6958	297.1741
94.9464	225.8250	608.2739	247.3171
981.0458	809.0828	608.2739	247.3171
659.2166	106.0270	608.2739	247.3171
258.3949	678.9995	608.2739	247.3171
1015.2017	685.0759	473.3666	302.4945
212.1750	190.0875	118.9733	153.0870
137.7674	677.1988	473.3666	302.4945
61.9892	452.7620	40.2302	385.8563
1043.8419	293.3647	806.9531	109.2226
685.9776	98.2582	473.3666	302.4945
867.4531	161.4281	608.2739	247.3171
278.8713	691.9320	608.2739	247.3171
585.9282	91.6607	608.2739	247.3171
840.5361	130.9627	473.3666	302.4945
831.0165	348.8885	643.1356	186.6330
103.0874	242.1754	608.2739	247.3171
809.9136	336.5270	624.0901	179.6728
740.7703	792.7081	608.2739	247.3171
509.2726	717.6606	440.0634	532.5898
832.7183	348.2310	643.1356	186.6330
704.1179	789.4736	473.3666	302.4945
119.2650	86.4497	608.2739	247.3171
391.5898	40.1309	473.3666	302.4945
1018.0283	689.2545	473.3666	302.4945
536.6021	259.2643	391.2471	157.7975
274.0088	88.7190	150.6054	291.9447
102.3751	250.1619	608.2739	247.3171
581.0370	81.2074	473.3666	302.4945
608.1062	458.0829	827.8384	173.3784
664.9381	784.0150	473.3666	302.4945
994.8208	169.5960	351.5701	211.3221
1075.3132	379.2961	473.3666	302.4945
472.0997	313.4413	351.5701	211.3221
308.6880	686.9064	608.2739	247.3171
506.1599	750.8834	264.7668	109.2424
841.2085	815.3910	473.3666	302.4945
1042.9800	564.0814	473.3666	302.4945
1043.7899	556.1261	473.3666	302.4945
